epoch,accuracy,loss,val_accuracy,val_loss
0,0.36645448207855225,1.3278346061706543,0.44092220067977905,1.269784927368164
1,0.6288403272628784,1.0000556707382202,0.6599423885345459,0.9231589436531067
2,0.7932466268539429,0.5936208963394165,0.7031700015068054,0.759121835231781
3,0.8474951386451721,0.4125559329986572,0.7204610705375671,0.7647727727890015
4,0.8884583711624146,0.3225823938846588,0.6974063515663147,0.7994512319564819
5,0.9097702503204346,0.25975877046585083,0.7089337110519409,0.8437694311141968
6,0.9299750924110413,0.21087802946567535,0.6714697480201721,0.9184038043022156
7,0.9402158856391907,0.1773805022239685,0.6743515729904175,0.9837692379951477
8,0.9529476761817932,0.1511433720588684,0.6829971075057983,0.9891577363014221
9,0.9618045687675476,0.12944839894771576,0.6772334575653076,1.055695652961731
10,0.9637420177459717,0.11304068565368652,0.6743515729904175,1.1066843271255493
11,0.9692776203155518,0.1028047502040863,0.7060518860816956,1.1360119581222534
12,0.9723221659660339,0.09400981664657593,0.6829971075057983,1.1732888221740723
13,0.9709382653236389,0.08757735043764114,0.7060518860816956,1.1984411478042603
14,0.973706066608429,0.087672658264637,0.6974063515663147,1.2349780797958374
15,0.9761970639228821,0.07571297138929367,0.6945244669914246,1.243950605392456
16,0.9767506122589111,0.07426770776510239,0.6829971075057983,1.3205316066741943
17,0.9761970639228821,0.07422634959220886,0.6829971075057983,1.2857009172439575
18,0.9792416095733643,0.06359586119651794,0.6945244669914246,1.325671672821045
19,0.9759202599525452,0.07109891623258591,0.6829971075057983,1.376533031463623
20,0.9781345129013062,0.0643964558839798,0.6916426420211792,1.3584011793136597
21,0.9789648652076721,0.06159444898366928,0.6916426420211792,1.3710272312164307
22,0.9767506122589111,0.06126441806554794,0.6945244669914246,1.4113305807113647
23,0.9786880612373352,0.058823905885219574,0.6829971075057983,1.4337184429168701
24,0.9789648652076721,0.057560328394174576,0.6829971075057983,1.4375526905059814
